text,mark
Отель очень красивый😍 интерьер просто шикарный. Ванная комната оснащена и душем и ванной. Завтраки вкусные и разнообразные🥰,5
"Шикарный отель, обслуживание прекрасное. Все новое, чистое. Отмечала день рождения, очень довольна",5
Отличный отель! Твердая 5*.,5
"Новый отель! Шумоизоляция порадовала, с персоналом вопросов не было. Только добейте климат систему в номере и свежий воздух",5
Гостиница современная. Хороший тренажерный зал. Еда очень разнообразная. Также можно отдохнуть и сходить в ботанический сад насладиться приятными ощущения. Гостиница спокойная и располагает чтобы в ней остановится .,5
"Хорошее место, и отдохнуть и поработать )",5
"Отличный отель для утра невесты и не только. Все очень красиво и эстетично. Замечательный персонал, который придет на помощь абсолютно в любом вопросе лишь бы вам было комфортно. Очень все понравилось",5
В отеле парковка платная -1500 р. сутки. В остальном всё на высоком уровне.,4
"Всем привет, замечательный отель, есть беговые дорожки, хороший дизайн как снаружи так и с нутри, есть озеро, вечером отлично прогуляться пешком перед сном)нам с супругой понравилось, запоминающий отзыв могу оставить, советую посетить)",5
"Уровень, корейского Лотте 5 из 5, так держать! Очень понравилось, будем заезжать при возможности!",5
"Останавливались с 3-6 января. Персонала не хватает. При заселении к 15.30 номер не готов, хотя засел-е с 14.00 Заселили в №1220. Нас было 3 чел, а по факту все было на 2. Полотенца и пр. Принесли в теч 10 мин. Вроде бы недолго, но хочется зайти и ни о чем не думать. Сразу же почувствовали запах табака в уборной, сказали персоналу. Ответили-решат. Кто-то курил в номере на др этажах. В последующие дни, ситуация та же, хотя я постоянно напоминал об этом. Уборка 3+. После уборки оставалась пыль на поверхностях. Один раз не вынесли мусор, хотя уборка была. Еда в ресторанах дорогая. Нашли ресторан поблизости. В общем, отель неплохой. Вид был на МЦК,но это не портило вид из окна. Вечером красиво. Что лично мне непонятно, так это огромное прозрачное окно из ванной в номер. Его можно сделать непрозрачным, но все же. Думаю, что задержки с подгот. номеров связаны в большим кол-вом туристов в праздники. А вот что касается запаха табака, это было неприятно. Ощущение, что игнор-ли обращения.",4
